,clones,clones_unique,views,views_unique,issues_closed,issues_open,pulls_closed,pulls_open,forks,stargazers,subscribers,contributors,commits,total_commits,updated_on
2023-10-17,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-10-30
2023-10-18,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-10-30
2023-10-19,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-10-30
2023-10-20,2.0,1.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-10-30
2023-10-21,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-10-30
2023-10-22,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-10-30
2023-10-23,1.0,1.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-10-30
2023-10-24,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-11-06
2023-10-25,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-11-06
2023-10-26,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-11-06
2023-10-27,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-11-06
2023-10-28,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-11-06
2023-10-29,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-11-06
2023-10-30,0.0,0.0,1.0,1.0,0,0,0,0,0,2,4,1,0,10,2023-11-06
2023-10-31,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-11-13
2023-11-01,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-11-13
2023-11-02,0.0,0.0,1.0,1.0,0,0,0,0,0,2,4,1,0,10,2023-11-13
2023-11-03,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-11-13
2023-11-04,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-11-13
2023-11-05,1.0,1.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-11-13
2023-11-06,0.0,0.0,0.0,0.0,0,0,0,0,0,2,4,1,0,10,2023-11-13
2023-11-07,0.0,0.0,0.0,0.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-08,0.0,0.0,0.0,0.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-09,0.0,0.0,0.0,0.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-10,0.0,0.0,0.0,0.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-11,0.0,0.0,0.0,0.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-12,0.0,0.0,0.0,0.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-13,0.0,0.0,1.0,1.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-14,2.0,2.0,0.0,0.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-15,0.0,0.0,0.0,0.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-16,0.0,0.0,0.0,0.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-17,0.0,0.0,4.0,1.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-18,0.0,0.0,0.0,0.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-19,0.0,0.0,0.0,0.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
2023-11-20,0.0,0.0,0.0,0.0,0,0,0,0,0,2,5,1,0,10,2023-11-20
